Date,BTC,SOL,XRP,LINK,ETH,HYPER,AVAX
2024-03-25,-0.0014356453999999999,-0.0009271489999999999,-0.0006049128,-0.002216471,-0.0009813195000000002,-0.0,-0.0023152376
2024-03-26,-0.0010366114,-0.0013085808000000002,-0.0005675754999999999,-0.0022669407,-0.0014122501,-0.0,-0.0036246268
2024-03-27,-0.0019873811,-0.002070922,-0.0005767090000000001,-0.001971137,-0.0014605129999999999,-0.0,-0.0026705499000000002
2024-03-28,-0.0016229311,-0.0023066156,-0.0012860337999999999,-0.0012261766999999999,-0.0014998618,-0.0,-0.0024468754
2024-03-29,-0.0026402416,-0.0027281453000000005,-0.001172077,-0.0013037885,-0.0014795273,-0.0,-0.0029887073000000007
2024-03-30,-0.0015887168,-0.0036377013,-0.0016494179,-0.0015651581999999997,-0.0010992224,-0.0,-0.002849109000000001
2024-03-31,-0.0022634731,-0.0037488446000000005,-0.0020367519,-0.0019360479000000003,-0.0017688529000000005,-0.0,-0.0027903309
2024-04-01,-0.0016318818999999998,-0.0012274261999999996,-0.0007366542000000001,-0.0010793922000000003,-0.0005950049,-0.0,-0.0018633464999999998
2024-04-02,-0.0007849048,-0.0005215219999999998,-0.0003230439999999999,-0.0003283210999999999,-0.0010813349999999997,-0.0,-0.00019743690000000006
2024-04-03,-0.0005924984,-0.0004682579,-0.0003,-0.0004422384999999998,-0.0007071679000000001,-0.0,-0.0003387951
2024-04-04,-0.00035331429999999986,-0.0007820325000000003,-0.00032599549999999994,-0.0003,-0.0006902907000000001,-0.0,-0.0006148833999999999
2024-04-05,-0.0005857597,-0.00019973760000000006,-0.0003,-0.0003,-0.0007972218,-0.0,-0.0005342094
2024-04-06,-0.0008049554000000002,-0.0003,-0.00031342049999999997,-0.0003224831,-0.00038285869999999983,-0.0,-0.0006594449000000001
2024-04-07,-0.0006861585999999999,-0.0003,-0.0003,-0.0011047168,-0.00044572779999999993,-0.0,-0.0006430052
2024-04-08,-0.0009158433,-0.000684247,-0.0003279287000000001,-0.0005958337000000002,-0.0005298604,-0.0,-0.0008131277000000003
2024-04-09,-0.0009878747,-0.0009168364000000001,-0.00039425429999999985,-0.0003744235999999999,-0.0005356785,-0.0,-0.0006486335000000001
2024-04-10,-0.0007669351000000004,-0.0010141863000000001,-0.00033099389999999995,-0.0003,-0.0005733002,-0.0,-0.0003323353999999999
2024-04-11,-0.0007254910000000001,-0.0013573020999999997,-0.00032143019999999995,-0.0003187797,-0.0005431800000000001,-0.0,-0.0003063389
2024-04-12,-0.0007414909,-0.0005282233999999999,-0.00032819919999999995,-0.0004124830999999997,-0.0005651411,-0.0,-0.0003294868999999999
2024-04-13,-0.0007407987000000001,-0.00031219329999999994,-3.743200000000008e-05,-0.00024725920000000007,-0.0003,-0.0,-0.0002225951000000001
2024-04-14,-0.0007023449999999999,-0.0005966325000000001,0.0008059168999999999,-0.00020597960000000006,-0.0005282526999999997,-0.0,-0.00039291499999999976
2024-04-15,-0.0003295828999999999,-0.0002976959,0.00037708579999999993,-0.00029969619999999997,-0.00015432750000000004,-0.0,-0.0003108168
2024-04-16,-0.0005177485000000001,-0.0004634858000000001,0.0006563743,-0.00025263880000000007,-0.0003266611999999999,-0.0,-0.0003
2024-04-17,-0.0004247725999999999,-0.000544515,0.0003038836000000002,-0.0003,-0.0003230852999999999,-0.0,-0.0003
2024-04-18,0.00014835389999999998,-0.00030875689999999996,-0.00022301600000000006,-0.00022540280000000006,-0.00022394560000000007,-0.0,-0.0003
2024-04-19,-0.0002846121,-0.0007101112999999998,-0.0001568125000000001,-0.0003,-2.527720000000001e-05,-0.0,-0.0003
2024-04-20,-0.00026321670000000006,-0.0003958722999999999,-1.4628100000000001e-05,-0.00024865480000000006,-0.00018877610000000002,-0.0,-0.0003
2024-04-21,-0.00022154150000000005,-0.0001121718000000001,-0.00023331150000000005,-0.0002776173,-0.00026193390000000004,-0.0,-0.0003
2024-04-22,-0.00018387370000000006,-0.0006248362,0.00010635659999999996,-0.0003,-0.00021861360000000006,-0.0,-0.0003
2024-04-23,-0.0002528690000000001,-0.0006808296,9.236800000000013e-06,-0.0003,7.676539999999993e-05,-0.0,-0.0003
2024-04-24,-0.0002707274,-0.0005475006999999998,-0.000273444,-0.0002914634000000001,-0.00012456320000000005,-0.0,-0.0003
2024-04-25,-0.00013047640000000003,-0.0007800058,-0.00023399670000000006,-0.0002811849,-0.00026667770000000007,-0.0,-0.0003
2024-04-26,-0.00026414600000000004,-0.0004423568999999997,0.00043054089999999996,-0.0003,-0.0003031598,-0.0,-0.00026745830000000003
2024-04-27,-0.0003,-0.0002810209,-7.254040000000001e-05,4.06282e-05,-0.0003660108,-0.0,-0.00026470590000000004
2024-04-28,-0.0002737886,-0.00019833610000000005,0.0002793313,0.0001033967,-0.0004028905999999999,-0.0,-0.0002729058
2024-04-29,-0.00023512230000000006,-0.00016000180000000006,0.00021629669999999999,-0.00018750180000000005,-0.0002916863,-0.0,-0.0002749404
2024-04-30,-0.00025077450000000006,-0.0002489083000000001,0.00033195469999999994,-0.00017138150000000003,-0.0002893287,-0.0,0.0002804973999999999
